case_id,court_id,case_type,filed_date,disposed_date,status,reported_days,quality_flag,quality_reason,waiting_days,duration_mismatch,is_open,days_open,filed_month,filed_quarter,disposed_month,age_band,overdue,court_name,region,court_type
001001,01,Youth,2026-06-22,,Active,,False,,,False,True,71.0,2026-06,2026Q2,,0-3 months,False,Northbridge District Court,Northern,District
001002,04,Family,2025-07-07,,Active,,False,,,False,True,421.0,2025-07,2025Q3,,12+ months,True,Riverton District Court,Central,District
001003,10,Family,2025-11-29,,Active,,False,,,False,True,276.0,2025-11,2025Q4,,3-12 months,False,Fernbay District Court,Southern,District
001004,01,Family,2024-09-01,2025-01-24,Disposed,145.0,False,,145.0,False,False,,2024-09,2024Q3,2025-01,,False,Northbridge District Court,Northern,District
001005,01,Family,2026-06-22,,Active,,False,,,False,True,71.0,2026-06,2026Q2,,0-3 months,False,Northbridge District Court,Northern,District
001006,09,Criminal,2026-03-19,2026-06-20,Disposed,93.0,False,,93.0,False,False,,2026-03,2026Q1,2026-06,,False,Southgate District Court,Southern,District
001007,06,Criminal,2025-01-27,2025-04-22,Disposed,85.0,False,,85.0,False,False,,2025-01,2025Q1,2025-04,,False,Central Plains High Court,Central,High
001008,05,Family,2025-10-31,,Active,,False,,,False,True,305.0,2025-10,2025Q4,,3-12 months,False,Mistvale District Court,Central,District
001009,04,Criminal,2025-11-30,2026-05-07,Disposed,158.0,False,,158.0,False,False,,2025-11,2025Q4,2026-05,,False,Riverton District Court,Central,District
001010,07,Youth,2026-03-26,,Active,,False,,,False,True,159.0,2026-03,2026Q1,,3-12 months,False,Eastfield District Court,Eastern,District
001011,08,Civil,2025-04-11,2025-08-22,Disposed,133.0,False,,133.0,False,False,,2025-04,2025Q2,2025-08,,False,Cape Lawson District Court,Eastern,District
001012,06,Family,2025-11-04,,Active,,False,,,False,True,301.0,2025-11,2025Q4,,3-12 months,False,Central Plains High Court,Central,High
001013,07,Criminal,2025-11-03,2026-06-21,Disposed,230.0,False,,230.0,False,False,,2025-11,2025Q4,2026-06,,False,Eastfield District Court,Eastern,District
001014,03,Criminal,2025-10-25,2026-03-02,Disposed,128.0,False,,128.0,False,False,,2025-10,2025Q4,2026-03,,False,Harbourview High Court,Northern,High
001015,02,Family,2025-10-16,2026-01-10,Disposed,86.0,False,,86.0,False,False,,2025-10,2025Q4,2026-01,,False,Kauri Point District Court,Northern,District
001016,05,Civil,2024-08-04,2024-12-22,Disposed,140.0,False,,140.0,False,False,,2024-08,2024Q3,2024-12,,False,Mistvale District Court,Central,District
001017,06,Family,2025-02-09,2025-07-11,Disposed,152.0,False,,152.0,False,False,,2025-02,2025Q1,2025-07,,False,Central Plains High Court,Central,High
001018,01,Civil,2025-05-02,2025-05-19,Disposed,17.0,False,,17.0,False,False,,2025-05,2025Q2,2025-05,,False,Northbridge District Court,Northern,District
001019,07,Criminal,2025-11-17,,Active,,False,,,False,True,288.0,2025-11,2025Q4,,3-12 months,False,Eastfield District Court,Eastern,District
001020,05,Family,2024-07-28,2025-06-26,Disposed,333.0,False,,333.0,False,False,,2024-07,2024Q3,2025-06,,False,Mistvale District Court,Central,District
001021,07,Criminal,2025-11-25,2026-08-18,Disposed,266.0,False,,266.0,False,False,,2025-11,2025Q4,2026-08,,False,Eastfield District Court,Eastern,District
001022,11,Civil,2026-03-22,2026-06-07,Disposed,77.0,False,,77.0,False,False,,2026-03,2026Q1,2026-06,,False,Southern Ranges High Court,Southern,High
001023,08,Youth,2025-05-08,2025-10-04,Disposed,149.0,False,,149.0,False,False,,2025-05,2025Q2,2025-10,,False,Cape Lawson District Court,Eastern,District
001024,11,Criminal,2026-01-21,2026-07-16,Disposed,176.0,False,,176.0,False,False,,2026-01,2026Q1,2026-07,,False,Southern Ranges High Court,Southern,High
001025,04,Family,2026-04-07,,Active,,False,,,False,True,147.0,2026-04,2026Q2,,3-12 months,False,Riverton District Court,Central,District
001026,01,Criminal,2025-08-19,2025-10-02,Disposed,44.0,False,,44.0,False,False,,2025-08,2025Q3,2025-10,,False,Northbridge District Court,Northern,District
001027,02,Civil,2026-05-11,,Active,,False,,,False,True,113.0,2026-05,2026Q2,,3-12 months,False,Kauri Point District Court,Northern,District
001028,11,Family,2026-01-22,,Active,,False,,,False,True,222.0,2026-01,2026Q1,,3-12 months,False,Southern Ranges High Court,Southern,High
001029,04,Family,2026-02-19,2026-08-28,Disposed,190.0,False,,190.0,False,False,,2026-02,2026Q1,2026-08,,False,Riverton District Court,Central,District
001030,08,Youth,2025-08-29,2025-09-29,Disposed,31.0,False,,31.0,False,False,,2025-08,2025Q3,2025-09,,False,Cape Lawson District Court,Eastern,District
001031,05,Family,2024-10-06,2025-07-08,Disposed,275.0,False,,275.0,False,False,,2024-10,2024Q4,2025-07,,False,Mistvale District Court,Central,District
001032,03,Family,2026-02-17,2026-07-16,Disposed,149.0,False,,149.0,False,False,,2026-02,2026Q1,2026-07,,False,Harbourview High Court,Northern,High
001033,10,Civil,2025-06-19,2025-08-19,Disposed,61.0,False,,61.0,False,False,,2025-06,2025Q2,2025-08,,False,Fernbay District Court,Southern,District
001034,12,Civil,2024-07-20,2025-01-11,Disposed,175.0,False,,175.0,False,False,,2024-07,2024Q3,2025-01,,False,Willow Creek District Court,Southern,District
001035,12,Criminal,2025-10-16,2026-04-04,Disposed,170.0,False,,170.0,False,False,,2025-10,2025Q4,2026-04,,False,Willow Creek District Court,Southern,District
001036,10,Youth,2025-08-16,2025-10-24,Disposed,69.0,False,,69.0,False,False,,2025-08,2025Q3,2025-10,,False,Fernbay District Court,Southern,District
001037,05,Family,2026-01-29,,Active,,False,,,False,True,215.0,2026-01,2026Q1,,3-12 months,False,Mistvale District Court,Central,District
001038,01,Civil,2026-05-10,,Active,,False,,,False,True,114.0,2026-05,2026Q2,,3-12 months,False,Northbridge District Court,Northern,District
001039,04,Youth,2027-03-13,2025-10-18,Disposed,128.0,True,disposed before filed,-511.0,True,False,,2027-03,2027Q1,2025-10,,False,Riverton District Court,Central,District
001040,09,Youth,2026-01-20,2026-02-22,Disposed,33.0,False,,33.0,False,False,,2026-01,2026Q1,2026-02,,False,Southgate District Court,Southern,District
001041,08,Youth,2025-06-09,2026-03-20,Disposed,284.0,False,,284.0,False,False,,2025-06,2025Q2,2026-03,,False,Cape Lawson District Court,Eastern,District
001042,07,Family,2025-10-11,2026-02-27,Disposed,139.0,False,,139.0,False,False,,2025-10,2025Q4,2026-02,,False,Eastfield District Court,Eastern,District
001043,09,Criminal,2025-12-01,2026-04-13,Disposed,133.0,False,,133.0,False,False,,2025-12,2025Q4,2026-04,,False,Southgate District Court,Southern,District
001044,07,Family,2025-11-20,2026-07-11,Disposed,233.0,False,,233.0,False,False,,2025-11,2025Q4,2026-07,,False,Eastfield District Court,Eastern,District
001045,11,Civil,2025-07-18,2026-01-14,Disposed,180.0,False,,180.0,False,False,,2025-07,2025Q3,2026-01,,False,Southern Ranges High Court,Southern,High
001046,04,Criminal,2024-07-18,2024-08-19,Disposed,32.0,False,,32.0,False,False,,2024-07,2024Q3,2024-08,,False,Riverton District Court,Central,District
