filed_quarter,region,filed,closed,median_days,closure_rate,complete
2024Q3,Central,140,132,154.0,0.943,True
2024Q4,Central,134,121,131.0,0.903,True
2025Q1,Central,109,100,140.0,0.917,True
2025Q2,Central,121,102,168.0,0.843,True
2025Q3,Central,137,106,138.0,0.774,False
2025Q4,Central,116,89,150.0,0.767,False
2026Q1,Central,121,69,116.0,0.57,False
2026Q2,Central,138,40,72.0,0.29,False
2024Q3,Eastern,94,88,148.0,0.936,True
2024Q4,Eastern,88,82,166.0,0.932,True
2025Q1,Eastern,86,76,176.0,0.884,True
2025Q2,Eastern,94,89,174.0,0.947,True
2025Q3,Eastern,87,72,191.0,0.828,True
2025Q4,Eastern,91,69,173.0,0.758,False
2026Q1,Eastern,89,39,118.0,0.438,False
2026Q2,Eastern,91,19,94.0,0.209,False
2024Q3,Northern,140,132,124.0,0.943,True
2024Q4,Northern,115,109,113.0,0.948,True
2025Q1,Northern,112,104,124.0,0.929,True
2025Q2,Northern,134,125,117.0,0.933,True
2025Q3,Northern,136,122,111.0,0.897,True
2025Q4,Northern,118,107,117.0,0.907,True
2026Q1,Northern,119,90,92.0,0.756,False
2026Q2,Northern,163,62,66.0,0.38,False
2024Q3,Southern,188,176,122.0,0.936,True
2024Q4,Southern,153,142,120.0,0.928,True
2025Q1,Southern,165,154,138.0,0.933,True
2025Q2,Southern,186,176,116.0,0.946,True
2025Q3,Southern,165,146,122.0,0.885,True
2025Q4,Southern,176,149,121.0,0.847,True
2026Q1,Southern,173,120,96.0,0.694,False
2026Q2,Southern,171,62,74.0,0.363,False
