month,filings,disposals,net_change
2024-07,206,1,205
2024-08,175,17,158
2024-09,181,37,144
2024-10,191,69,122
2024-11,191,86,105
2024-12,108,121,-13
2025-01,107,126,-19
2025-02,174,111,63
2025-03,191,130,61
2025-04,181,118,63
2025-05,186,130,56
2025-06,168,130,38
2025-07,190,170,20
2025-08,171,142,29
2025-09,164,150,14
2025-10,203,186,17
2025-11,190,160,30
2025-12,108,132,-24
2026-01,119,146,-27
2026-02,190,138,52
2026-03,193,141,52
2026-04,187,141,46
2026-05,191,174,17
2026-06,185,191,-6
2026-07,0,154,-154
2026-08,0,164,-164
2026-09,0,4,-4
