court_name,region,court_type,closed_cases,median_days,open_cases,overdue_cases,overdue_pct
Cape Lawson District Court,Eastern,District,247,187.0,100,21,21.0
Mistvale District Court,Central,District,216,176.0,109,26,23.9
Eastfield District Court,Eastern,District,287,139.0,86,17,19.8
Southern Ranges High Court,Southern,High,261,136.0,82,13,15.9
Central Plains High Court,Central,High,273,133.0,78,19,24.4
Harbourview High Court,Northern,High,250,128.0,79,18,22.8
Riverton District Court,Central,District,270,114.0,70,20,28.6
Willow Creek District Court,Southern,District,285,113.0,52,16,30.8
Northbridge District Court,Northern,District,308,110.0,63,17,27.0
Southgate District Court,Southern,District,283,110.0,63,14,22.2
Fernbay District Court,Southern,District,296,102.0,55,11,20.0
Kauri Point District Court,Northern,District,293,96.0,44,6,13.6
