case_id,court_id,case_type,filed_date,disposed_date,status,reported_days
002866,07, Family,22/08/2024,18/12/2024,Disposed,118
003338,02,CIVIL,02/05/2026,19/06/2026,Disposed,48
004781,07,CIVIL,22/10/2025,17/03/2026,Disposed,146
004486,04,FAMILY,04/03/2025,15/07/2026,DISPOSED,498
003797,07,Family Court,02/08/2025,05/06/2026,DISPOSED,307
002099,05,civil,20/02/2025,08/07/2025,Disposed,138
005150,08,Family Court,27/02/2026,,Active ,
003979,02,criminal,17/05/2025,18/08/2025,Disposed,93
004795,05,YOUTH,25/07/2024,26/10/2024,Disposed,93
005111,05,Civil,23/03/2026,,active,
004638,04,youth,02/04/2026,24/06/2026,DISPOSED,83
001538,12,CRIMINAL,02/01/2026,07/03/2026,DISPOSED,64
001083,03,Criminal,06/10/2025,23/11/2025,DISPOSED,48
004637,10,Criminal ,09/06/2026,16/08/2026,Disposed,68
001912,12,civil,28/02/2025,27/05/2025,DISPOSED,88
004430,08,Crim,26/05/2026,,Active,
002247,11,Criminal ,30/06/2025,17/12/2025,DISPOSED,170
003942,01,civil,16/09/2025,01/01/2026,Disposed,107
005005,03,CRIMINAL,22/05/2026,,ACTIVE,
004082,10,Youth,30/07/2024,06/10/2024,Disposed,68
002077,06,youth,24/06/2025,26/12/2025,DISPOSED,230
003052,09,Family,18/12/2025,01/03/2026,DISPOSED,73
002954,01, Family,24/02/2026,27/05/2026,DISPOSED,92
004517,11,Crim,26/08/2025,,Active ,
003815,09,Crim,23/04/2026,30/05/2026,DISPOSED,37
004520,04,criminal,19/07/2024,23/09/2024,DISPOSED,66
003546,04,Criminal,14/01/2025,20/02/2025,Disposed,37
003479,05,Family Court,16/12/2025,,Active,
001053,03,Crim,07/11/2024,02/03/2025,Disposed,115
001209,12, Civil,16/07/2025,,ACTIVE,
002535,05,criminal,11/12/2025,,active,
005143,05,CRIMINAL,25/07/2024,26/12/2024,DISPOSED,154
001298,01,civil,04/03/2025,11/08/2025,DISPOSED,160
001325,06, Civil,15/12/2024,26/02/2025,Disposed,73
002270,01,CIVIL,15/11/2024,19/02/2025,Disposed,96
002226,12,civil,21/04/2026,01/08/2026,disposed,102
004676,05, Family,29/06/2025,19/06/2026,disposed,355
004292,10,family,02/12/2025,07/05/2026,disposed,156
002935,11,civil,26/04/2026,,Active ,
003607,03,Fam,15/06/2026,,Active,
002475,02,Criminal ,25/09/2024,07/04/2025,Disposed,194
004118,05,Fam,05/02/2025,05/09/2025,disposed,212
001351,02,criminal,23/01/2026,17/02/2026,DISPOSED,25
005124,03,Youth ,29/05/2025,28/10/2025,disposed,152
001602,10,FAMILY,06/11/2025,20/01/2026,disposed, 75
001408,07,FAMILY,16/03/2026,,Active ,
004453,12,family,15/05/2025,26/09/2025,Disposed,134
003484,03,CRIMINAL,30/05/2026,,ACTIVE,
004620,06,criminal,26/02/2025,24/07/2026,DISPOSED,513
003183,12,youth,05/10/2025,08/11/2025,DISPOSED,34
004903,01,Criminal,29/03/2026,28/06/2026,disposed,91
002824,03,Civil,05/02/2025,03/04/2025,Disposed,57
003537,01,Crim,20/02/2025,09/05/2025,disposed,78
001657,05,Criminal ,27/07/2025,31/10/2025,disposed,96
002810,03,Family ,02/04/2025,,active,
004452,04,FAMILY,09/09/2025,22/02/2026,Disposed,166
003530,07,Family,05/02/2026,,ACTIVE,
002621,09,FAMILY,13/06/2025,16/08/2025,DISPOSED,64
002907,01,Criminal ,13/10/2025,27/12/2025,DISPOSED,75
003893,12,Civil,15/03/2026,26/07/2026,disposed,133
004048,10,Criminal,14/03/2026,26/06/2026,disposed,104
002421,03,Civil,17/06/2025,09/11/2025,Disposed,145
001561,12,Youth,16/04/2026,20/06/2026,disposed,N/A
002862,01,Youth,09/11/2024,08/12/2024,disposed,29
002232,09,Civil,11/01/2026,,ACTIVE,
001243,06,civil,04/06/2026,,ACTIVE,
001161,04, Civil,16/08/2024,01/05/2025,Disposed,N/A
004504,12,civil,05/03/2026,,Active,
003669,07,CIVIL,27/08/2024,05/01/2025,Disposed,131
